scenario,method,bias,sd,rmse,mae
both,Naive,-10.00,1.56,10.12,9.97
both,RG,0.01,1.12,1.12,0.77
both,IPW,-0.08,1.72,1.72,1.10
both,Stratified,-1.07,1.34,1.71,1.21
both,AIPW,0.01,1.12,1.12,0.76
both,AIPW-S,0.01,1.12,1.12,0.76
both,AIPW-S1,0.01,1.12,1.12,0.76
both,AIPW-S1m,0.01,1.12,1.12,0.76
both,WR,0.01,1.12,1.12,0.76
both,WR-S,0.01,1.12,1.12,0.77
both,WR-S1,0.01,1.12,1.12,0.76
both,WR-S1m,0.01,1.12,1.12,0.76
both,TML,0.01,1.12,1.12,0.76
both,TML-S,0.01,1.12,1.12,0.76
both,TML-S1,0.01,1.12,1.12,0.76
both,TML-S1m,0.01,1.12,1.12,0.76
onlyM,Naive,-10.00,1.56,10.12,9.97
onlyM,RG,0.01,1.12,1.12,0.77
onlyM,IPW,4.63,10.38,11.37,2.41
onlyM,Stratified,-2.85,1.41,3.18,2.87
onlyM,AIPW,0.01,1.13,1.13,0.77
onlyM,AIPW-S,0.01,1.12,1.12,0.76
onlyM,AIPW-S1,0.01,1.12,1.12,0.76
onlyM,AIPW-S1m,0.01,1.12,1.12,0.76
onlyM,WR,0.01,1.12,1.12,0.77
onlyM,WR-S,0.01,1.12,1.12,0.76
onlyM,WR-S1,0.01,1.12,1.12,0.77
onlyM,WR-S1m,0.01,1.12,1.12,0.76
onlyM,TML,-0.11,3.26,3.26,0.78
onlyM,TML-S,0.01,1.12,1.12,0.76
onlyM,TML-S1,0.01,1.12,1.12,0.76
onlyM,TML-S1m,0.01,1.12,1.12,0.76
onlyPi,Naive,-10.00,1.56,10.12,9.97
onlyPi,RG,-0.77,1.50,1.69,1.12
onlyPi,IPW,-0.08,1.72,1.72,1.10
onlyPi,Stratified,-1.07,1.34,1.71,1.21
onlyPi,AIPW,0.12,1.61,1.62,1.03
onlyPi,AIPW-S,0.48,1.38,1.46,0.97
onlyPi,AIPW-S1,0.58,1.38,1.50,0.99
onlyPi,AIPW-S1m,0.59,1.38,1.49,1.00
onlyPi,WR,0.19,1.35,1.36,0.93
onlyPi,WR-S,0.39,1.29,1.35,0.88
onlyPi,WR-S1,0.54,1.29,1.39,0.93
onlyPi,WR-S1m,0.52,1.28,1.38,0.92
onlyPi,TML,0.18,1.61,1.62,1.06
onlyPi,TML-S,0.48,1.38,1.46,0.97
onlyPi,TML-S1,0.58,1.38,1.50,0.99
onlyPi,TML-S1m,0.60,1.38,1.50,1.01
neither,Naive,-10.00,1.56,10.12,9.97
neither,RG,-0.77,1.50,1.69,1.12
neither,IPW,4.63,10.38,11.37,2.41
neither,Stratified,-2.85,1.41,3.18,2.87
neither,AIPW,-7.93,12.55,14.84,5.02
neither,AIPW-S,-1.53,1.42,2.08,1.59
neither,AIPW-S1,-1.58,1.42,2.12,1.61
neither,AIPW-S1m,-1.59,1.42,2.13,1.63
neither,WR,-2.93,1.48,3.29,2.91
neither,WR-S,-1.53,1.36,2.04,1.56
neither,WR-S1,-1.58,1.36,2.09,1.59
neither,WR-S1m,-1.59,1.36,2.09,1.61
neither,TML,-37.60,332.08,334.03,4.62
neither,TML-S,-1.53,1.42,2.08,1.59
neither,TML-S1,-1.58,1.42,2.13,1.61
neither,TML-S1m,-1.58,1.42,2.13,1.62
